George Town,0,0,0,35
George Town,0,0,0,35
George Town,0,0,0,35
George Town,0,0,0,35
Bangui,644,717,798,851
Bangui,644,717,798,851
Bangui,644,717,798,851
Bangui,644,717,798,851
N'Djamena,827,991,"1,187","1,323"
N'Djamena,827,991,"1,187","1,323"
N'Djamena,827,991,"1,187","1,323"
N'Djamena,827,991,"1,187","1,323"
Saint Helier,0,0,0,34
Saint Helier,0,0,0,34
Saint Helier,0,0,0,34
Saint Helier,0,0,0,34
Santiago,"6,025","6,269","6,523","6,680"
Santiago,"6,025","6,269","6,523","6,680"
Santiago,"6,025","6,269","6,523","6,680"
Santiago,"6,025","6,269","6,523","6,680"
Beijing,"12,991","16,441","18,421","19,618"
Beijing,"12,991","16,441","18,421","19,618"
Beijing,"12,991","16,441","18,421","19,618"
Beijing,"12,991","16,441","18,421","19,618"
Hong Kong,"6,828","7,025","7,246","7,429"
Hong Kong,"6,828","7,025","7,246","7,429"
Hong Kong,"6,828","7,025","7,246","7,429"
Hong Kong,"6,828","7,025","7,246","7,429"
Macao,483,537,601,632
Macao,483,537,601,632
Macao,483,537,601,632
Macao,483,537,601,632
Bogota,"7,299","8,418","9,708","10,574"
Bogota,"7,299","8,418","9,708","10,574"
Bogota,"7,299","8,418","9,708","10,574"
Bogota,"7,299","8,418","9,708","10,574"
Moroni,0,0,0,62
Moroni,0,0,0,62
Moroni,0,0,0,62
Moroni,0,0,0,62
Brazzaville,"1,269","1,576","1,958","2,230"
Brazzaville,"1,269","1,576","1,958","2,230"
Brazzaville,"1,269","1,576","1,958","2,230"
Brazzaville,"1,269","1,576","1,958","2,230"
Avarua,0,0,0,13
Avarua,0,0,0,13
Avarua,0,0,0,13
Avarua,0,0,0,13
San Jos�,"1,114","1,202","1,297","1,358"
San Jos�,"1,114","1,202","1,297","1,358"
San Jos�,"1,114","1,202","1,297","1,358"
San Jos�,"1,114","1,202","1,297","1,358"
Yamoussoukro,0,0,0,231
Yamoussoukro,0,0,0,231
Yamoussoukro,0,0,0,231
Yamoussoukro,0,0,0,231
Zagreb,690,688,687,686
Zagreb,690,688,687,686
Zagreb,690,688,687,686
Zagreb,690,688,687,686
Havana,"2,180","2,143","2,124","2,136"
Havana,"2,180","2,143","2,124","2,136"
Havana,"2,180","2,143","2,124","2,136"
Havana,"2,180","2,143","2,124","2,136"
Willemstad,0,0,0,144
Willemstad,0,0,0,144
Willemstad,0,0,0,144
Willemstad,0,0,0,144
Nicosia,0,0,0,269
Nicosia,0,0,0,269
Nicosia,0,0,0,269
Nicosia,0,0,0,269
Prague,"1,199","1,234","1,269","1,292"
Prague,"1,199","1,234","1,269","1,292"
Prague,"1,199","1,234","1,269","1,292"
Prague,"1,199","1,234","1,269","1,292"
Pyongyang,"2,805","2,861","2,970","3,038"
Pyongyang,"2,805","2,861","2,970","3,038"
Pyongyang,"2,805","2,861","2,970","3,038"
Pyongyang,"2,805","2,861","2,970","3,038"
Kinshasa,"7,589","9,382","11,598","13,171"
Kinshasa,"7,589","9,382","11,598","13,171"
Kinshasa,"7,589","9,382","11,598","13,171"
Kinshasa,"7,589","9,382","11,598","13,171"
Copenhagen,"1,127","1,192","1,271","1,321"
Copenhagen,"1,127","1,192","1,271","1,321"
Copenhagen,"1,127","1,192","1,271","1,321"
Copenhagen,"1,127","1,192","1,271","1,321"
Djibouti,442,485,531,562
Djibouti,442,485,531,562
Djibouti,442,485,531,562
Djibouti,442,485,531,562
Roseau,0,0,0,15
Roseau,0,0,0,15
Roseau,0,0,0,15
Roseau,0,0,0,15
Santo Domingo,"2,297","2,601","2,945","3,172"
Santo Domingo,"2,297","2,601","2,945","3,172"
Santo Domingo,"2,297","2,601","2,945","3,172"
Santo Domingo,"2,297","2,601","2,945","3,172"
